Age,SiteSpending,SiteTime,RecommendImpression,Education,WorkType,Sex,Region,Salary
32,314.06,30.14,0,Degree,Private sector,Male,London,60173.49
20,3758.36,149.36,4,GCSE,Private sector,Female,South East,42965.45
36,601.72,21.87,0,Masters,Private sector,Male,East of England,54924.41
21,44.89,182.8,9,Masters,Private sector,Female,Northern Ireland,26734.99
24,614.8,194.34,0,GCSE,Private sector,Male,Scotland,15325.23
23,722.15,137.46,6,Other,Unemployed,Male,London,27492.87
44,312.8,114.88,0,Degree,Private sector,Female,West Midlands,49823.6
39,40.43,194.19,4,Degree,Private sector,Male,Northern Ireland,47015.24
42,45.47,118.04,3,A Level,Private sector,Female,Northern Ireland,45222.28
40,218.73,285.48,8,GCSE,Private sector,Female,South West,41750.35
48,107.41,68.58,5,Other,Unemployed,Male,Northern Ireland,61615.3
28,1104.59,150.61,8,GCSE,Private sector,Male,Yorkshire and The Humber,27262.98
28,81.13,104.02,4,Other,Private sector,Female,West Midlands,19084.14
48,40.43,287.23,9,Degree,Private sector,Female,South East,71014.51
47,1231.64,101.71,3,PhD,Private sector,Female,Scotland,73295.89
31,1161.03,199.68,7,Masters,Unemployed,Female,North West,53621.7
22,155.01,219.44,5,A Level,Private sector,Female,Scotland,16940.6
36,247.77,164.55,0,Degree,Public Sector,Female,Scotland,48884.26
51,297.2,30.37,0,Degree,Private sector,Female,Scotland,27683.53
26,598.33,72.9,5,Degree,Self Employed,Female,West Midlands,21228.28
57,3658.41,216.33,6,PhD,Unemployed,Female,Scotland,62672.08
36,40.43,236.04,4,PhD,Private sector,Female,East of England,51157.2
44,197.03,17.74,0,Degree,Public Sector,Female,Scotland,54333.71
44,143.98,27.68,1,Other,Unemployed,Female,London,64283.09
23,584.41,92.61,0,Masters,Private sector,Female,Scotland,19536.03
59,1029.94,254.87,9,Masters,Public Sector,Female,East Midlands,40139.8
43,900.13,27.75,1,Degree,Private sector,Male,South East,69622.62
32,124.65,7.63,0,Other,Private sector,Female,Yorkshire and The Humber,42512.87
50,944.02,65.73,6,PhD,Private sector,Male,Wales,37388.53
38,848.66,79.06,0,GCSE,Private sector,Male,Northern Ireland,41274.43
32,261.13,166.86,8,Other,Private sector,Male,Wales,56236.76
49,721.12,247.75,7,Degree,Private sector,Male,Scotland,66315.05
34,4134.95,29.93,1,PhD,Private sector,Male,North West,90898.45
28,127.86,118.34,2,A Level,Unemployed,Female,East of England,16221.46
59,2085.83,124.4,4,None,Public Sector,Female,North West,26502.3
21,280.56,83.49,0,Degree,Private sector,Female,North East,12441.66
47,2056.53,37.21,0,Other,Private sector,Female,Scotland,75907.31
34,173.81,134.37,4,Degree,Private sector,Female,Yorkshire and The Humber,45939.83
53,301.13,276.6,8,Degree,Private sector,Male,South East,43674.2
41,3764.97,184.88,2,Degree,Private sector,Male,East of England,89747.04
60,227.29,75.3,4,A Level,Private sector,Male,South East,22134.83
32,310.92,170.25,7,A Level,Private sector,Female,Yorkshire and The Humber,43655.09
31,393.28,156.57,7,A Level,Private sector,Male,Northern Ireland,49370.92
73,398.39,250.19,7,Degree,Unemployed,Male,Scotland,27878.96
53,152.01,128.39,2,Other,Private sector,Female,North West,30378.79
25,2315.28,148.2,11,Masters,Unemployed,Female,Scotland,59759.88
40,205.43,70.77,2,GCSE,Unemployed,Male,East of England,49735.4
25,143.92,253.24,6,A Level,Self Employed,Female,Yorkshire and The Humber,18048.75
43,339.5,258.8,10,GCSE,Unemployed,Male,London,80198.33
55,958.61,285.03,12,Masters,Unemployed,Male,East of England,69756.49
28,62.8,135.58,4,A Level,Private sector,Female,Scotland,17149.6
